"id","word"
"56865","sport"
"73685","sports"
"1761306","danse modern jazz"
"1761307","danse sur glace"
"1761304","danse africaine"
"49154","rivière"
"1761305","danse country"
"1761310","éveil corporel"
"147463","Manaudou"
"1761311","football us"
"81924","rassembler"
"65540","gentleman-rider"
"1761308","disc golf"
"1761309","equitation"
"1761298","boxe chinoise"
"344077","combiné nordique"
"8","traversée"
"1761299","canne de combat"
"1761296","boogie woogie"
"1777681","faire la différence>prendre l\'avantage"
"1761297","boule lyonnaise"
"8204","handisport"
"1761302","chanbara"
"1761303","combat médiéval"
"1761300","canne défense"
"1761301","canoë kayak"
"81934","main"
"1761290","ball trap"
"1761291","ballet sur glace"
"114707","athlétisme"
"1761288","arts martiaux artistiques"
"1761289","baby foot"
"1761294","beach soccer"
"1761295","beach volley"
"98324","battue"
"1761292","basket ball"
"1761293","baton défense"
"245787","lancer>projeter"
"40987","encordement"
"163870","jeu de ballon"
"1761286","agility"
"1761287","aqua gym"
"139292","masque"
"1761285","aerobic sportive"
"40991","bond"
"1761338","peteca"
"1761339","qi gong"
"1761336","paramoteur"
"1761337","penchak silat"
"1761342","self défense"
"1761343","self pro krav"
"1761340","qwan ki do"
"1761341","sarbacana"
"1761330","moto cross"
"24616","angulation"
"65576","être à bout de souffle"
"1761331","moto vitesse"
"1761328","luta livre"
"98347","bobeur"
"1761329","lutte contact"
"229416","monter>équitation"
"180270","boxe américaine"
"1761334","ninjitsu"
"180271","course d\'orientation"
"45","rappel"
"1761335","padel"
"32813","Porsche"
"1761332","mountainboard"
"1761333","nage avec palmes"
"180274","football gaélique"
"1761322","kali escrima"
"180275","hakko-ryu"
"1761323","kempo"
"180272","danse sportive"
"1761320","jodo"
"180273","football australien"
"1761321","ju-jitsu traditionnel"
"237616","à cheval>équitation"
"180278","jiujitsu"
"1761326","kite surf"
"163895","ski alpin"
"180279","joutes nautiques"
"1761327","kobudo"
"180276","iaïdo"
"1761324","kenjutsu"
"180277","jeu de paume"
"1761325","kin ball"
"7290968","=drop="
"180282","rink hockey"
"262204","pêche sous-marine"
"1761314","hip hop"
"180283","roller in line hockey"
"1761315","hockey subaquatique"
"114744","brasseur"
"180280","kick-boxing"
"1761312","grappling"
"180281","krav maga"
"1761313","hapkido"
"180286","snowboard"
"1761318","jetski"
"180287","taihojutsu"
"1761319","jiu-jitsu brésilien"
"180284","rugby à XIII"
"1761316","horse ball"
"114751","motoball"
"180285","shinty"
"1761317","jeet kune do"
"180290","vétathlon"
"139331","voile"
"180291","volata"
"180288","tchoukball"
"1761368","football de plage"
"180289","unihockey"
"2523237","sauteuse en longueur"
"1761369","soccer de plage"
"180294","zen hakko kaï"
"180292","wakeboard"
"24646","attraper"
"180293","water polo"
"1761362","pencak"
"229451","pot belge"
"1761361","pencak-silat"
"7290916","=challenge="
"3227772","match du siècle"
"139340","mesure"
"1761364","chambara"
"1761354","volley ball"
"8044586","=jumping="
"1761355","wing chun"
"245842","roulade>gymnastique"
"237650","chandelle>gymnastique"
"7290942","=cross="
"1761352","ultimate frisbee"
"237649","chandelle>sport"
"1761353","viet vo dao"
"1761358","silat"
"1761356","yoseikan budo"
"139349","tierce"
"1761346","taï chi chuan"
"1761347","taï jitsu"
"139352","beauté"
"1761344","short track"
"1761345","ski sur herbe"
"1761350","traîneaux"
"385113","trot attelé"
"1761351","twirling baton"
"1761348","thaing bando"
"98398","fandango"
"1761349","tir subaquatique"
